#	cleg	hm	hall
1	1	P 1	P 1
2	2	P -1	-P 1
3	3	P 1 2 1	P 2y
4	3:c,a,b	P 1 1 2	
5	3:b,c,a	P 2 1 1	
6	4	P 1 21 1	P 2yb
7	4:c,a,b	P 1 1 21	
8	4:b,c,a	P 21 1 1	
9	5	C 1 2 1	C 2y
10	5:-a-c,b,a	A 1 2 1	
11	5:c,b,-a-c	I 1 2 1	
12	5:c,a,b	A 1 1 2	
13	5:a,-a-c,b	B 1 1 2	
14	5:-a-c,c,b	I 1 1 2	
15	5:b,c,a	B 2 1 1	
16	5:b,a,-a-c	C 2 1 1	
17	5:b,-a-c,c	I 2 1 1	
18	6	P 1 m 1	P -2y
19	6:c,a,b	P 1 1 m	
20	6:b,c,a	P m 1 1	
21	7	P 1 c 1	P -2yc
22	7:-a-c,b,a	P 1 n 1	
23	7:c,b,-a-c	P 1 a 1	
24	7:c,a,b	P 1 1 a	
25	7:a,-a-c,b	P 1 1 n	
26	7:-a-c,c,b	P 1 1 b	
27	7:b,c,a	P b 1 1	
28	7:b,a,-a-c	P n 1 1	
29	7:b,-a-c,c	P c 1 1	
30	8	C 1 m 1	C -2y
31	8:-a-c,b,a	A 1 m 1	
32	8:c,b,-a-c	I 1 m 1	
33	8:c,a,b	A 1 1 m	
34	8:a,-a-c,b	B 1 1 m	
35	8:-a-c,c,b	I 1 1 m	
36	8:b,c,a	B m 1 1	
37	8:b,a,-a-c	C m 1 1	
38	8:b,-a-c,c	I m 1 1	
39	9	C 1 c 1	C -2yc
40	9:-a-c,b,a	A 1 n 1	
41	9:c,b,-a-c	I 1 a 1	
42	9:c,-b,a	A 1 a 1	
43	9:a,-b,-a-c	C 1 n 1	
44	9:-a-c,-b,c	I 1 c 1	
45	9:c,a,b	A 1 1 a	
46	9:a,-a-c,b	B 1 1 n	
47	9:-a-c,c,b	I 1 1 b	
48	9:a,c,-b	B 1 1 b	
49	9:-a-c,a,-b	A 1 1 n	
50	9:c,-a-c,-b	I 1 1 a	
51	9:b,c,a	B b 1 1	
52	9:b,a,-a-c	C n 1 1	
53	9:b,-a-c,c	I c 1 1	
54	9:-b,a,c	C c 1 1	
55	9:-b,-a-c,a	B n 1 1	
56	9:-b,c,-a-c	I b 1 1	
57	10	P 1 2/m 1	-P 2y
58	10:c,a,b	P 1 1 2/m	
59	10:b,c,a	P 2/m 1 1	
60	11	P 1 21/m 1	-P 2yb
61	11:c,a,b	P 1 1 21/m	
62	11:b,c,a	P 21/m 1 1	
63	12	C 1 2/m 1	-C 2y
64	12:-a-c,b,a	A 1 2/m 1	
65	12:c,b,-a-c	I 1 2/m 1	
66	12:c,a,b	A 1 1 2/m	
67	12:a,-a-c,b	B 1 1 2/m	
68	12:-a-c,c,b	I 1 1 2/m	
69	12:b,c,a	B 2/m 1 1	
70	12:b,a,-a-c	C 2/m 1 1	
71	12:b,-a-c,c	I 2/m 1 1	
72	13	P 1 2/c 1	-P 2yc
73	13:-a-c,b,a	P 1 2/n 1	
74	13:c,b,-a-c	P 1 2/a 1	
75	13:c,a,b	P 1 1 2/a	
76	13:a,-a-c,b	P 1 1 2/n	
77	13:-a-c,c,b	P 1 1 2/b	
78	13:b,c,a	P 2/b 1 1	
79	13:b,a,-a-c	P 2/n 1 1	
80	13:b,-a-c,c	P 2/c 1 1	
81	14	P 1 21/c 1	-P 2ybc
82	14:-a-c,b,a	P 1 21/n 1	
83	14:c,b,-a-c	P 1 21/a 1	
84	14:c,a,b	P 1 1 21/a	
85	14:a,-a-c,b	P 1 1 21/n	
86	14:-a-c,c,b	P 1 1 21/b	
87	14:b,c,a	P 21/b 1 1	
88	14:b,a,-a-c	P 21/n 1 1	
89	14:b,-a-c,c	P 21/c 1 1	
90	15	C 1 2/c 1	-C 2yc
91	15:-a-c,b,a	A 1 2/n 1	
92	15:c,b,-a-c	I 1 2/a 1	
93	15:c,-b,a	A 1 2/a 1	
94	15:a,-b,-a-c	C 1 2/n 1	
95	15:-a-c,-b,c	I 1 2/c 1	
96	15:c,a,b	A 1 1 2/a	
97	15:a,-a-c,b	B 1 1 2/n	
98	15:-a-c,c,b	I 1 1 2/b	
99	15:a,c,-b	B 1 1 2/b	
100	15:-a-c,a,-b	A 1 1 2/n	
101	15:c,-a-c,-b	I 1 1 2/a	
102	15:b,c,a	B 2/b 1 1	
103	15:b,a,-a-c	C 2/n 1 1	
104	15:b,-a-c,c	I 2/c 1 1	
105	15:-b,a,c	C 2/c 1 1	
106	15:-b,-a-c,a	B 2/n 1 1	
107	15:-b,c,-a-c	I 2/b 1 1	
108	16	P 2 2 2	P 2 2
109	17	P 2 2 21	P 2c 2
