sg	trm	hm	xyz
1	a,b,c	P 1	x,y,z
2	a,b,c	P -1	x,y,z;-x,-y,-z
3	a,b,c	P 1 2 1	x,y,z;-x,y,-z
3	c,a,b	P 1 1 2	x,y,z;-x,-y,z
3	b,c,a	P 2 1 1	x,y,z;x,-y,-z
4	a,b,c	P 1 21 1	x,y,z;-x,y+1/2,-z
4	c,a,b	P 1 1 21	x,y,z;-x,-y,z+1/2
4	b,c,a	P 21 1 1	x,y,z;x+1/2,-y,-z
5	a,b,c	C 1 2 1	x,y,z;-x,y,-z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z
5	-a-c,b,a	A 1 2 1	x,y,z;-x,y,-z;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2
5	c,b,-a-c	I 1 2 1	x,y,z;-x,y,-z;x-1/2,y+1/2,z-1/2;-x-1/2,y+1/2,-z-1/2
5	c,a,b	A 1 1 2	x,y,z;-x,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2
5	a,-a-c,b	B 1 1 2	x,y,z;-x,-y,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2
5	-a-c,c,b	I 1 1 2	x,y,z;-x,-y,z;x-1/2,y-1/2,z+1/2;-x-1/2,-y-1/2,z+1/2
5	b,c,a	B 2 1 1	x,y,z;x,-y,-z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2
5	b,a,-a-c	C 2 1 1	x,y,z;x,-y,-z;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z
5	b,-a-c,c	I 2 1 1	x,y,z;x,-y,-z;x+1/2,y-1/2,z-1/2;x+1/2,-y-1/2,-z-1/2
6	a,b,c	P 1 m 1	x,y,z;x,-y,z
6	c,a,b	P 1 1 m	x,y,z;x,y,-z
6	b,c,a	P m 1 1	x,y,z;-x,y,z
7	a,b,c	P 1 c 1	x,y,z;x,-y,z+1/2
7	-a-c,b,a	P 1 n 1	x,y,z;x-1/2,-y,z-1/2
7	c,b,-a-c	P 1 a 1	x,y,z;x+1/2,-y,z
7	c,a,b	P 1 1 a	x,y,z;x+1/2,y,-z
7	a,-a-c,b	P 1 1 n	x,y,z;x-1/2,y-1/2,-z
7	-a-c,c,b	P 1 1 b	x,y,z;x,y+1/2,-z
7	b,c,a	P b 1 1	x,y,z;-x,y+1/2,z
7	b,a,-a-c	P n 1 1	x,y,z;-x,y-1/2,z-1/2
7	b,-a-c,c	P c 1 1	x,y,z;-x,y,z+1/2
8	a,b,c	C 1 m 1	x,y,z;x,-y,z;x+1/2,y+1/2,z;x+1/2,-y+1/2,z
8	-a-c,b,a	A 1 m 1	x,y,z;x,-y,z;x,y+1/2,z+1/2;x,-y+1/2,z+1/2
8	c,b,-a-c	I 1 m 1	x,y,z;x,-y,z;x-1/2,y+1/2,z-1/2;x-1/2,-y+1/2,z-1/2
8	c,a,b	A 1 1 m	x,y,z;x,y,-z;x,y+1/2,z+1/2;x,y+1/2,-z+1/2
8	a,-a-c,b	B 1 1 m	x,y,z;x,y,-z;x+1/2,y,z+1/2;x+1/2,y,-z+1/2
8	-a-c,c,b	I 1 1 m	x,y,z;x,y,-z;x-1/2,y-1/2,z+1/2;x-1/2,y-1/2,-z+1/2
8	b,c,a	B m 1 1	x,y,z;-x,y,z;x+1/2,y,z+1/2;-x+1/2,y,z+1/2
8	b,a,-a-c	C m 1 1	x,y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,y+1/2,z
8	b,-a-c,c	I m 1 1	x,y,z;-x,y,z;x+1/2,y-1/2,z-1/2;-x+1/2,y-1/2,z-1/2
9	a,b,c	C 1 c 1	x,y,z;x,-y,z+1/2;x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2
9	-a-c,b,a	A 1 n 1	x,y,z;x-1/2,-y,z-1/2;x,y+1/2,z+1/2;x-1/2,-y+1/2,z
9	c,b,-a-c	I 1 a 1	x,y,z;x+1/2,-y,z;x-1/2,y+1/2,z-1/2;x,-y+1/2,z-1/2
9	c,-b,a	A 1 a 1	x,y,z;x+1/2,-y,z;x,y-1/2,z+1/2;x+1/2,-y-1/2,z+1/2
9	a,-b,-a-c	C 1 n 1	x,y,z;x-1/2,-y,z-1/2;x+1/2,y-1/2,z;x,-y-1/2,z-1/2
9	-a-c,-b,c	I 1 c 1	x,y,z;x,-y,z+1/2;x-1/2,y-1/2,z-1/2;x-1/2,-y-1/2,z
9	c,a,b	A 1 1 a	x,y,z;x+1/2,y,-z;x,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
9	a,-a-c,b	B 1 1 n	x,y,z;x-1/2,y-1/2,-z;x+1/2,y,z+1/2;x,y-1/2,-z+1/2
9	-a-c,c,b	I 1 1 b	x,y,z;x,y+1/2,-z;x-1/2,y-1/2,z+1/2;x-1/2,y,-z+1/2
9	a,c,-b	B 1 1 b	x,y,z;x,y+1/2,-z;x+1/2,y,z-1/2;x+1/2,y+1/2,-z-1/2
9	-a-c,a,-b	A 1 1 n	x,y,z;x-1/2,y-1/2,-z;x,y+1/2,z-1/2;x-1/2,y,-z-1/2
9	c,-a-c,-b	I 1 1 a	x,y,z;x+1/2,y,-z;x-1/2,y-1/2,z-1/2;x,y-1/2,-z-1/2
9	b,c,a	B b 1 1	x,y,z;-x,y+1/2,z;x+1/2,y,z+1/2;-x+1/2,y+1/2,z+1/2
9	b,a,-a-c	C n 1 1	x,y,z;-x,y-1/2,z-1/2;x+1/2,y+1/2,z;-x+1/2,y,z-1/2
9	b,-a-c,c	I c 1 1	x,y,z;-x,y,z+1/2;x+1/2,y-1/2,z-1/2;-x+1/2,y-1/2,z
9	-b,a,c	C c 1 1	x,y,z;-x,y,z+1/2;x-1/2,y+1/2,z;-x-1/2,y+1/2,z+1/2
9	-b,-a-c,a	B n 1 1	x,y,z;-x,y-1/2,z-1/2;x-1/2,y,z+1/2;-x-1/2,y-1/2,z
9	-b,c,-a-c	I b 1 1	x,y,z;-x,y+1/2,z;x-1/2,y-1/2,z-1/2;-x-1/2,y,z-1/2
10	a,b,c	P 1 2/m 1	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z
10	c,a,b	P 1 1 2/m	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z
10	b,c,a	P 2/m 1 1	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z
11	a,b,c	P 1 21/m 1	x,y,z;-x,y+1/2,-z;-x,-y,-z;x,-y+1/2,z
11	c,a,b	P 1 1 21/m	x,y,z;-x,-y,z+1/2;-x,-y,-z;x,y,-z+1/2
11	b,c,a	P 21/m 1 1	x,y,z;x+1/2,-y,-z;-x,-y,-z;-x+1/2,y,z
12	a,b,c	C 1 2/m 1	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z
12	-a-c,b,a	A 1 2/m 1	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,-y+1/2,z+1/2
12	c,b,-a-c	I 1 2/m 1	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x-1/2,y+1/2,z-1/2;-x-1/2,y+1/2,-z-1/2;-x-1/2,-y+1/2,-z-1/2;x-1/2,-y+1/2,z-1/2
12	c,a,b	A 1 1 2/m	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2
12	a,-a-c,b	B 1 1 2/m	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2
12	-a-c,c,b	I 1 1 2/m	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x-1/2,y-1/2,z+1/2;-x-1/2,-y-1/2,z+1/2;-x-1/2,-y-1/2,-z+1/2;x-1/2,y-1/2,-z+1/2
12	b,c,a	B 2/m 1 1	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y,-z+1/2;-x+1/2,y,z+1/2
12	b,a,-a-c	C 2/m 1 1	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;-x+1/2,y+1/2,z
12	b,-a-c,c	I 2/m 1 1	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y-1/2,z-1/2;x+1/2,-y-1/2,-z-1/2;-x+1/2,-y-1/2,-z-1/2;-x+1/2,y-1/2,z-1/2
13	a,b,c	P 1 2/c 1	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2
13	-a-c,b,a	P 1 2/n 1	x,y,z;-x-1/2,y,-z-1/2;-x,-y,-z;x-1/2,-y,z-1/2
13	c,b,-a-c	P 1 2/a 1	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z
13	c,a,b	P 1 1 2/a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z
13	a,-a-c,b	P 1 1 2/n	x,y,z;-x-1/2,-y-1/2,z;-x,-y,-z;x-1/2,y-1/2,-z
13	-a-c,c,b	P 1 1 2/b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z
13	b,c,a	P 2/b 1 1	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z
13	b,a,-a-c	P 2/n 1 1	x,y,z;x,-y-1/2,-z-1/2;-x,-y,-z;-x,y-1/2,z-1/2
13	b,-a-c,c	P 2/c 1 1	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2
14	a,b,c	P 1 21/c 1	x,y,z;-x,y+1/2,-z+1/2;-x,-y,-z;x,-y+1/2,z+1/2
14	-a-c,b,a	P 1 21/n 1	x,y,z;-x-1/2,y+1/2,-z-1/2;-x,-y,-z;x-1/2,-y+1/2,z-1/2
14	c,b,-a-c	P 1 21/a 1	x,y,z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,-y+1/2,z
14	c,a,b	P 1 1 21/a	x,y,z;-x+1/2,-y,z+1/2;-x,-y,-z;x+1/2,y,-z+1/2
14	a,-a-c,b	P 1 1 21/n	x,y,z;-x-1/2,-y-1/2,z+1/2;-x,-y,-z;x-1/2,y-1/2,-z+1/2
14	-a-c,c,b	P 1 1 21/b	x,y,z;-x,-y+1/2,z+1/2;-x,-y,-z;x,y+1/2,-z+1/2
14	b,c,a	P 21/b 1 1	x,y,z;x+1/2,-y+1/2,-z;-x,-y,-z;-x+1/2,y+1/2,z
14	b,a,-a-c	P 21/n 1 1	x,y,z;x+1/2,-y-1/2,-z-1/2;-x,-y,-z;-x+1/2,y-1/2,z-1/2
14	b,-a-c,c	P 21/c 1 1	x,y,z;x+1/2,-y,-z+1/2;-x,-y,-z;-x+1/2,y,z+1/2
15	a,b,c	C 1 2/c 1	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z+1/2
15	-a-c,b,a	A 1 2/n 1	x,y,z;-x-1/2,y,-z-1/2;-x,-y,-z;x-1/2,-y,z-1/2;x,y+1/2,z+1/2;-x-1/2,y+1/2,-z;-x,-y+1/2,-z+1/2;x-1/2,-y+1/2,z
15	c,b,-a-c	I 1 2/a 1	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z;x-1/2,y+1/2,z-1/2;-x,y+1/2,-z-1/2;-x-1/2,-y+1/2,-z-1/2;x,-y+1/2,z-1/2
15	c,-b,a	A 1 2/a 1	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z;x,y-1/2,z+1/2;-x+1/2,y-1/2,-z+1/2;-x,-y-1/2,-z+1/2;x+1/2,-y-1/2,z+1/2
15	a,-b,-a-c	C 1 2/n 1	x,y,z;-x-1/2,y,-z-1/2;-x,-y,-z;x-1/2,-y,z-1/2;x+1/2,y-1/2,z;-x,y-1/2,-z-1/2;-x+1/2,-y-1/2,-z;x,-y-1/2,z-1/2
15	-a-c,-b,c	I 1 2/c 1	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2;x-1/2,y-1/2,z-1/2;-x-1/2,y-1/2,-z;-x-1/2,-y-1/2,-z-1/2;x-1/2,-y-1/2,z
