# agreed to re-licensing
# GitHub username, evidence

dannon, https://github.com/galaxyproject/galaxy/pull/14540
jmchilton, https://github.com/galaxyproject/galaxy/pull/14540
natefoo, https://github.com/galaxyproject/galaxy/pull/14540
hexylena, https://github.com/galaxyproject/galaxy/pull/14540
bgruening, https://github.com/galaxyproject/galaxy/pull/14540
blankenberg, https://github.com/galaxyproject/galaxy/pull/14540
martenson, https://github.com/galaxyproject/galaxy/pull/14540
nuwang, https://github.com/galaxyproject/galaxy/pull/14540
anuprulez, https://github.com/galaxyproject/galaxy/pull/14540
jdavcs, https://github.com/galaxyproject/galaxy/pull/14540
mvdbeek, https://github.com/galaxyproject/galaxy/pull/14540
VJalili, https://github.com/galaxyproject/galaxy/pull/14540
davelopez, https://github.com/galaxyproject/galaxy/pull/14540
ahmedhamidawan, https://github.com/galaxyproject/galaxy/pull/13332
abretaud, https://github.com/galaxyproject/galaxy/pull/12159
ZimmerA, https://github.com/galaxyproject/galaxy/pull/12337
ajs6f, https://github.com/galaxyproject/galaxy/pull/13301
astrovsky01, https://github.com/galaxyproject/galaxy/pull/11802
almahmoud, https://github.com/galaxyproject/galaxy/pull/12155
itisAliRH, https://github.com/galaxyproject/galaxy/pull/13104
annefou, https://github.com/galaxyproject/galaxy/pull/11812
abretaud, https://github.com/galaxyproject/galaxy/pull/12159
assuntad23, https://github.com/galaxyproject/galaxy/pull/11799
guerler, https://github.com/galaxyproject/galaxy/pull/13923
beatrizserrano, https://github.com/galaxyproject/galaxy/pull/13616
Paprikant, https://github.com/galaxyproject/galaxy/pull/15131
bebatut, https://github.com/galaxyproject/galaxy/pull/15068
bernt-matthias, https://github.com/galaxyproject/galaxy/pull/16668
bdwheele, https://github.com/galaxyproject/galaxy/pull/16443
thepineapplepirate, https://github.com/galaxyproject/galaxy/pull/13126
slugger70, private email from Simon Gladman's heirs to hexylena affirming the license change
neoformit, https://github.com/galaxyproject/galaxy/pull/16616
cat-bro, https://github.com/galaxyproject/galaxy/pull/11923
claudiofr, https://github.com/galaxyproject/galaxy/pull/16576
hujambo-dunia, https://github.com/galaxyproject/galaxy/pull/13912
gallardoalba, https://github.com/galaxyproject/galaxy/pull/13708
TanguyGen, https://github.com/galaxyproject/galaxy/pull/16478
tcollins2011, https://github.com/galaxyproject/galaxy/pull/15855
TheoMathurin, https://github.com/galaxyproject/galaxy/pull/16105
quacksawbones, https://github.com/galaxyproject/galaxy/pull/13067
davebx, https://github.com/galaxyproject/galaxy/pull/13310
elichad, https://github.com/galaxyproject/galaxy/pull/12375
afgane, https://github.com/galaxyproject/galaxy/pull/16844
eancelet, https://github.com/galaxyproject/galaxy/pull/12234/
ebolyen, https://github.com/galaxyproject/galaxy/pull/14216
alexlenail, https://github.com/galaxyproject/galaxy/pull/16970#issuecomment-1791587514
