# tool-id <tab> bio.tools-id
abyss-pe	abyss
allegro	allegro
datasets_download_genome	ncbi_resources
ncbi_acc_download	ncbi_resources
uniprotxml_downloader	uniprot
unipept	unipept
iedb_api	iedb
sam_dump	sra
sra_pileup	sra
ncbi_eutils_esearch	ncbi_resources
ncbi_eutils_egquery	ncbi_resources
ncbi_eutils_ecitmatch	ncbi_resources
ncbi_eutils_epost	ncbi_resources
ncbi_eutils_elink	ncbi_resources
ncbi_eutils_einfo	ncbi_resources
ncbi_eutils_esummary	ncbi_resources
ncbi_eutils_efetch	ncbi_resources
uniprot	uniprot
get_sequences	ensembl
get_genetree	ensembl
get_feature_info	ensembl
enasearch_search_data	ena
enasearch_retrieve_data	ena
enasearch_retrieve_taxons	ena
enasearch_retrieve_analysis_report	ena
enasearch_retrieve_run_report	ena
ebi_search_rest_results	ebi_search
ebi_metagenomics_run_downloader	ebi_tools
pyega3	ega
ena_upload	ena
gops_basecoverage_1	bx-python
gops_subtract_1	bx-python
gops_complement_1	bx-python
gops_cluster_1	bx-python
gff3.rebase	gff3_rebase
gops_coverage_1	bx-python
gops_merge_1	bx-python
gops_intersect_1	bx-python
flanking_features_1	bx-python
get_flanks1	bx-python
subtract_query1	bx-python
gffcompare	gffcompare
sample_seqs	biopython
seq_filter_by_id	biopython
rxlr_motifs	signalp
rxlr_motifs	hmmer2
crossmap_bam	crossmap
samtools_bam_to_cram	samtools
crossmap_region	crossmap
crossmap_bed	crossmap
crossmap_gff	crossmap
crossmap_vcf	crossmap
crossmap_wig	crossmap
msconvert	msconvert
bed_to_protein_map	bed_to_protein_map
gffcompare_to_bed	gffcompare
idconvert	idconvert
msconvert_subset	msconvert
idconvert	idconvert
bigwig_to_bedgraph	bigwig_to_bedgraph
fastp	fastp
cshl_fastx_clipper	clip
rcorrector	recorrector
filtlong	filtlong
trimmomatic	trimmomatic
fasta_compute_length	compute_sequence_length
fastq_quality_trimmer	fastx-toolkit
fastq_to_fasta_python	fastx-toolkit
cshl_fastx_renamer	chsl_fastx_renamer
cshl_fastx_reverse_complement	cshl_fastx_reverse_complement
cshl_fastx_trimmer	cshl_fastx_trimmer
cshl_fastq_to_fasta	fastx-toolkit
cshl_fastx_quality_statistics	cshl_fastx_quality_statistics
cshl_fastq_quality_boxplot	fastx-toolkit
cshl_fastq_quality_converter	fastx-toolkit
cshl_fastq_quality_filter	fastx-toolkit
cshl_fasta_formatter	fastx-toolkit
cshl_fasta_nucleotides_changer	fastx-toolkit
cshl_fastx_collapser	cshl_fastx_collapser
cshl_fastx_artifacts_filter	cshl_fastx_artifacts_filter
exonerate	exonerate
sickle	sickle
flash	flash
seqtk_comp	seqtk
seqtk_mutfa	seqtk
seqtk_hety	seqtk
seqtk_cutN	seqtk
seqtk_mergefa	seqtk
seqtk_trimfq	seqtk
seqtk_fqchk	seqtk
seqtk_randbase	seqtk
seqtk_subseq	seqtk
seqtk_dropse	seqtk
seqtk_mergepe	seqtk
seqtk_seq	seqtk
seqtk_listhet	seqtk
seqtk_listhet	seqtk
mqc	mQC
cshl_fastx_nucleotides_distribution	cshl_fastx_nucleotides_distribution
cshl_fastx_barcode_splitter	cshl_princeton_fastx_barcode_splitter
lighter	lighter
qualimap_counts	qualimap
samtools_coverage	samtools
bamtools	bamtools
bamFilter	bamtools
bamtools_split_paired	bamtools
bamtools_split_ref	bamtools
bamtools_split_mapped	bamtools
bamtools_split_tag	bamtools
samtools_phase	samtools
samtools_fastx	samtools
samtools_view	samtools
samtools_stats	samtools
samtools_split	samtools
samtools_flagstat	samtools
samtools_markdup	samtools
samtools_slice_bam	samtools
samtools_idxstats	samtools
samtools_sort	samtools
samtools_bedcov	samtools
bamutil_diff	bamutil
samtools_reheader	samtools
qualimap_bamqc	qualimap
sam_pileup	samtools
qualimap_multi_bamqc	qualimap
bamtools_split	bamtools
samtools_mpileup	samtools
samtools_calmd	samtools
samtools_merge	samtools
samtools_depth	samtools
samtools_fixmate	samtools
samtool_filter2	samtools
ngsutils_bam_filter	ngsutils
samtools_rmdup	samtools
sam_merge2	Broken link in tool shed
bamhash	bamhash
bedtools_annotatebed	bedtools
bedtools_bed12tobed6	bedtools
bedtools_bedtobam	bedtools
bedtools_bedtoigv	bedtools
bedtools_bedpetobam	bedtools
bedtools_closestbed	bedtools
bedtools_clusterbed	bedtools
bedtools_complementbed	bedtools
bedtools_coveragebed	bedtools
bedtools_expandbed	bedtools
bedtools_fisher	bedtools
bedtools_flankbed	bedtools
bedtools_genomecoveragebed	bedtools
bedtools_getfastabed	bedtools
bedtools_groupbybed	bedtools
bedtools_intersectbed	bedtools
bedtools_jaccard	bedtools
bedtools_links	bedtools
bedtools_makewindowsbed	bedtools
bedtools_map	bedtools
bedtools_maskfastabed	bedtools
bedtools_mergebed	bedtools
bedtools_multicovtbed	bedtools
bedtools_multiintersectbed	bedtools
bedtools_nucbed	bedtools
bedtools_overlapbed	bedtools
bedtools_randombed	bedtools
bedtools_reldistbed	bedtools
bedtools_shufflebed	bedtools
bedtools_slopbed	bedtools
bedtools_sortbed	bedtools
bedtools_spacingbed	bedtools
bedtools_subtractbed	bedtools
bedtools_tagbed	bedtools
bedtools_unionbedgraph	bedtools
bedtools_windowbed	bedtools
gffcompare	bedtools
bedtools_bamtofastq	bedtools
bedtools_genomecoveragebed_bedgraph	bedtools
