23 21		Script or data to be passed to the program following the shebang (#!).
a1 b2 c3 d4	pcap	Libpcap File Format 
d4 c3 b2 a1	pcap	Libpcap File Format 
0a 0d 0d 0a	0	pcapng
ed ab ee db	rpm	RedHat Package Manager (RPM) package 
53 51 4c 69 74 65 20 66 6f 72 6d 61 74 20 33 00	0	sqlitedb sqlite db
53 50 30 31	0	bin
00	0	PIC PIF SEA YTR
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00	11	PDB
BE BA FE CA	DBA	 Palm Desktop Calendar Archive
00 01 42 44	0	DBA
00 01 44 54	0	TDA
54 44 46 24	0	TDF$
54 44 45 46	0	TDEF
00 01 00 00		Palm Desktop Data File ( Access format)
00 00 01 00	0	ico
66 74 79 70 33 67	4	3gp 3g2
1F 9D	0	z tar.z
1F A0	z tar.z	Compressed file (often tar zip)  
42 41 43 4B 4D 49 4B 45 44 49 53 4B	0	bac
42 5A 68	0	bz2
47 49 46 38 37 61	0	gif
47 49 46 38 39 61	0	gif
49 49 2A 00	0	tif tiff
4D 4D 00 2A	0	tif tiff
49 49 2A 00 10 00 00 00 43 52	0	cr2
80 2A 5F D7	0	cin
52 4E 43 01	0	
52 4E 43 02	0	
53 44 50 58	0	dpx
58 50 44 53	0	dpx
76 2F 31 01	0	exr
42 50 47 FB	0	bpg
FF D8 FF DB	0	jpg jpeg
FF D8 FF E0 00 10 4A 46 49 46 00 01	0	jpg jpeg
FF D8 FF E1 ?? ?? 45 78 69 66 00 00	0	jpg jpeg
46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D	0 any 	ilbm lbm ibm iff
46 4F 52 4D ?? ?? ?? ?? 38 53 56 58	0 any 	8svx 8sv svx snd iff
46 4F 52 4D ?? ?? ?? ?? 41 43 42 4D	0 any 	acbm iff
46 4F 52 4D ?? ?? ?? ?? 41 4E 42 4D	0 any 	anbm iff
46 4F 52 4D ?? ?? ?? ?? 41 4E 49 4D	0 any 	anim iff
46 4F 52 4D ?? ?? ?? ?? 46 41 58 58	0 any 	faxx fax iff
46 4F 52 4D ?? ?? ?? ?? 46 54 58 54	0 any 	ftxt iff
46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53	0 any 	smus smu mus iff
46 4F 52 4D ?? ?? ?? ?? 43 4D 55 53	0 any 	cmus mus iff
46 4F 52 4D ?? ?? ?? ?? 59 55 56 4E	0 any 	yuvn yuv iff
46 4F 52 4D ?? ?? ?? ?? 46 41 4E 54	0 any 	iff
46 4F 52 4D ?? ?? ?? ?? 41 49 46 46	0 any 	aiff aif aifc snd iff
49 4E 44 58	0	idx
4C 5A 49 50	0	lz
4D 5A	0	exe dll
50 4B 03 04	0	zip aar apk docx epub ipa jar kmz  maff  odp ods odt pk3 pk4 pptx usdz vsdx xlsx xpi
50 4B 05 06	0	zip aar apk docx epub ipa jar kmz  maff  odp ods odt pk3 pk4 pptx usdz vsdx xlsx xpi
50 4B 07 08	0	zip aar apk docx epub ipa jar kmz  maff  odp ods odt pk3 pk4 pptx usdz vsdx xlsx xpi
52 61 72 21 1A 07 00	0	rar
52 61 72 21 1A 07 01 00	0	rar
5A 4D	0	exe
7F 45 4C 46	0	
89 50 4E 47 0D 0A 1A 0A	0	png
C9	0	com
CA FE BA BE	0	class
EF BB BF	0	
FE ED FA CE	0 0x1000 	
