	67	Microcebus_murinus (Mouse lemur/)
MEDAKA1	67	Oryzias_latipes (Medaka/MEDAKA1)
Myoluc2.0	67	Myotis_lucifugus (Microbat/Myoluc2.0)
anoCar1	67	Anolis_carolinensis (Anole lizard/anoCar1)
WS220	67	Caenorhabditis_elegans (C.elegans/WS220)
WS180	67	Caenorhabditis_elegans (C.elegans/WS180)
MICROBAT1	67	Myotis_lucifugus (Microbat/MICROBAT1)
loxAfr3	67	Loxodonta_africana (Elephant/loxAfr3)
AgamP3	67	Anopheles_gambiae (Mosquito/AgamP3)
DROM3	67	Drosophila_melanogaster (Fly/DROM3)
LatCha1	67	Latimeria_chalumnae (Coelacanth/LatCha1)
vicPac1	67	Vicugna_pacos (Alpaca/vicPac1)
COMMON_SHREW1	67	Sorex_araneus (Shrew/COMMON_SHREW1)
MGSC3	67	Mus_musculus (Mouse/MGSC3)
MGSC1	67	Mus_musculus (Mouse/MGSC1)
JGI4.1	67	Xenopus_tropicalis (Xenopus/JGI4.1)
RGSC1	67	Rattus_norvegicus (Rat/RGSC1)
RGSC2	67	Rattus_norvegicus (Rat/RGSC2)
gadMor1	67	Gadus_morhua (Atlantic cod/gadMor1)
CSAV2.0	67	Ciona_savignyi (C.savignyi/CSAV2.0)
oryCun2	67	Oryctolagus_cuniculus (Rabbit/oryCun2)
ZFISH6	67	Danio_rerio (Zebrafish/ZFISH6)
ZFISH7	67	Danio_rerio (Zebrafish/ZFISH7)
ZFISH4	67	Danio_rerio (Zebrafish/ZFISH4)
ZFISH5	67	Danio_rerio (Zebrafish/ZFISH5)
ZFISH2	67	Danio_rerio (Zebrafish/ZFISH2)
ZFISH3	67	Danio_rerio (Zebrafish/ZFISH3)
MOZ2a	67	Anopheles_gambiae (Mosquito/MOZ2a)
EquCab2	67	Equus_caballus (Horse/EquCab2)
AMEL1.1	67	Apis_mellifera (Honeybee/AMEL1.1)
MMUL_1	67	Macaca_mulatta (Macaque/MMUL_1)
dasNov2	67	Dasypus_novemcinctus (Armadillo/dasNov2)
choHof1	67	Choloepus_hoffmanni (Sloth/choHof1)
lamPac1	50	Lama_pacos (Alpaca/lamPac1)
OANA5	67	Ornithorhynchus_anatinus (Platypus/OANA5)
CEL160	67	Caenorhabditis_elegans (C.elegans/CEL160)
WBcel215	67	Caenorhabditis_elegans (C.elegans/WBcel215)
gorGor3	67	Gorilla_gorilla (Gorilla/gorGor3)
SQUIRREL	67	Spermophilus_tridecemlineatus (Ground Squirrel/SQUIRREL)
gorGor1	67	Gorilla_gorilla (Gorilla/gorGor1)
pteVam1	67	Pteropus_vampyrus (Flying fox/pteVam1)
SGD1	67	Saccharomyces_cerevisiae (S.cerevisiae/SGD1)
micMur1	67	Microcebus_murinus (Mouse lemur/micMur1)
proCap1	67	Procavia_capensis (Rock hyrax/proCap1)
NCBIM30	67	Mus_musculus (Mouse/NCBIM30)
NCBIM33	67	Mus_musculus (Mouse/NCBIM33)
NCBIM32	67	Mus_musculus (Mouse/NCBIM32)
NCBIM35	67	Mus_musculus (Mouse/NCBIM35)
AaegL1	67	Aedes_aegypti (A.aegypti/AaegL1)
NCBIM37	67	Mus_musculus (Mouse/NCBIM37)
NCBIM36	67	Mus_musculus (Mouse/NCBIM36)
EF2	67	Saccharomyces_cerevisiae (S.cerevisiae/EF2)
EF3	67	Saccharomyces_cerevisiae (S.cerevisiae/EF3)
EF4	67	Saccharomyces_cerevisiae (S.cerevisiae/EF4)
BDGP5.4	67	Drosophila_melanogaster (Fly/BDGP5.4)
PPYG2	67	Pongo_abelii (Orangutan/PPYG2)
CEL150	67	Caenorhabditis_elegans (C.elegans/CEL150)
AMEL2.0	67	Apis_mellifera (Honeybee/AMEL2.0)
WASHUC1	67	Gallus_gallus (Chicken/WASHUC1)
WASHUC2	67	Gallus_gallus (Chicken/WASHUC2)
Btau_3.1	67	Bos_taurus (Cow/Btau_3.1)
gorGor3.1	67	Gorilla_gorilla (Gorilla/gorGor3.1)
CEL130	67	Caenorhabditis_elegans (C.elegans/CEL130)
Zv9	67	Danio_rerio (Zebrafish/Zv9)
BROADS1	67	Gasterosteus_aculeatus (Stickleback/BROADS1)
BROADD2	67	Canis_familiaris (Dog/BROADD2)
BROADD1	67	Canis_familiaris (Dog/BROADD1)
pika	67	Ochotona_princeps (Pika/pika)
ZFISH08	67	Danio_rerio (Zebrafish/ZFISH08)
ZFISH06	67	Danio_rerio (Zebrafish/ZFISH06)
calJac3	67	Callithrix_jacchus (Marmoset/calJac3)
CHIMP2.1.4	67	Pan_troglodytes (Chimp/CHIMP2.1.4)
JGI2	67	Ciona_intestinalis (C.intestinalis/JGI2)
JGI3	67	Xenopus_tropicalis (Xenopus/JGI3)
UCSC	67	Homo_sapiens (Human/UCSC)
Zv8	67	Danio_rerio (Zebrafish/Zv8)
JGI4	67	Xenopus_tropicalis (Xenopus/JGI4)
CEL140	67	Caenorhabditis_elegans (C.elegans/CEL140)
HEDGEHOG	67	Erinaceus_europaeus (Hedgehog/HEDGEHOG)
callJacc3	67	Callithrix_jacchus (Marmoset/callJacc3)
WS210	67	Caenorhabditis_elegans (C.elegans/WS210)
BDGP4	67	Drosophila_melanogaster (Fly/BDGP4)
BDGP5	67	Drosophila_melanogaster (Fly/BDGP5)
CHIMP1	67	Pan_troglodytes (Chimp/CHIMP1)
OtoGar3	67	Otolemur_garnettii (Bushbaby/OtoGar3)
MOZ2	67	Anopheles_gambiae (Mosquito/MOZ2)
FUGU4	67	Takifugu_rubripes (Fugu/FUGU4)
MOZ1	67	Anopheles_gambiae (Mosquito/MOZ1)
GUINEAPIG	67	Cavia_porcellus (Guinea Pig/GUINEAPIG)
BROADE1	67	Loxodonta_africana (Elephant/BROADE1)
RABBIT	67	Oryctolagus_cuniculus (Rabbit/RABBIT)
TETRAODON7	67	Tetraodon_nigroviridis (Tetraodon/TETRAODON7)
TETRAODON8	67	Tetraodon_nigroviridis (Tetraodon/TETRAODON8)
gorGor2	67	Gorilla_gorilla (Gorilla/gorGor2)
SGD1.01	67	Saccharomyces_cerevisiae (S.cerevisiae/SGD1.01)
ailMel1	67	Ailuropoda_melanoleuca (Panda/ailMel1)
Sscrofa9	67	Sus_scrofa (Pig/Sscrofa9)
cavPor3	67	Cavia_porcellus (Guinea Pig/cavPor3)
Orenil1.0	67	Oreochromis_niloticus (Nile tilapia/Orenil1.0)
BDGP4.2	67	Drosophila_melanogaster (Fly/BDGP4.2)
BDGP4.3	67	Drosophila_melanogaster (Fly/BDGP4.3)
Petromyzon_marin	64	Petromyzon_marinus (Lamprey/Petromyzon_marin)
RGSC3.4	67	Rattus_norvegicus (Rat/RGSC3.4)
Pmarinus_7.0	67	Petromyzon_marinus (Lamprey/Pmarinus_7.0)
RGSC3.1	67	Rattus_norvegicus (Rat/RGSC3.1)
BDGP5.25	67	Drosophila_melanogaster (Fly/BDGP5.25)
ARMA	67	Dasypus_novemcinctus (Armadillo/ARMA)
CINT1.95	67	Ciona_intestinalis (C.intestinalis/CINT1.95)
Btau_1.0	67	Bos_taurus (Cow/Btau_1.0)
JGI_4.2	67	Xenopus_tropicalis (Xenopus/JGI_4.2)
CEL116	67	Caenorhabditis_elegans (C.elegans/CEL116)
BUSHBABY1	67	Otolemur_garnettii (Bushbaby/BUSHBABY1)
Sscrofa10.2	67	Sus_scrofa (Pig/Sscrofa10.2)
BDGP3.2.1	67	Drosophila_melanogaster (Fly/BDGP3.2.1)
taeGut3.2.4	67	Taeniopygia_guttata (Zebra finch/taeGut3.2.4)
KH	67	Ciona_intestinalis (C.intestinalis/KH)
JGI4_1	67	Xenopus_tropicalis (Xenopus/JGI4_1)
spetri2	67	Spermophilus_tridecemlineatus (Ground Squirrel/spetri2)
Btau_4.0	67	Bos_taurus (Cow/Btau_4.0)
UMD2	67	Meleagris_gallopavo (Turkey/UMD2)
NCBI28	67	Homo_sapiens (Human/NCBI28)
NCBI29	67	Homo_sapiens (Human/NCBI29)
