campJeju_RM1221_1	Campylobacter jejuni RM1221	chr=1777831
13086	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	NC_006511=4585229
13082	Bacillus licheniformis ATCC 14580	NC_006322=4222645
13242	Azoarcus sp. EbN1	NC_006513=4296230,NC_006823=207355,NC_006824=223670
97	Mycoplasma genitalium G37	NC_000908=580076
13162	Streptococcus thermophilus LMG 18311	NC_006448=1796846
13163	Streptococcus thermophilus CNRZ1066	NC_006449=1796226
12931	Xanthomonas oryzae pv. oryzae KACC10331	NC_006834=4941439
15751	Rhodopseudomonas palustris BisA53	NC_008435=5505494
15750	Rhodopseudomonas palustris BisB18	NC_007925=5513844
13603	Ralstonia eutropha H16	NC_008313=4052032
aerPer1	Aeropyrum pernix K1	chr=1669695
13014	Syntrophomonas wolfei subsp. wolfei str. Goettingen	NC_008346=2936195
13012	Pelodictyon luteolum DSM 273	NC_007512=2364842
298	Caulobacter crescentus CB15	NC_002696=4016947
296	Xanthomonas campestris pv. campestris str. ATCC 33913	NC_003902=5076188
297	Xanthomonas axonopodis pv. citri str. 306	NC_003922=64920,NC_003921=33700,NC_003919=5175554
295	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	NC_003454=2174500
293	Leptospira interrogans serovar Lai str. 56601	NC_004342=4332241,NC_004343=358943
13018	Thiomicrospira crunogena XCL-2	NC_007520=2427734
13019	Thiomicrospira denitrificans ATCC 33889	NC_007575=2201561
therMari1	Thermotoga maritima MSB8	chr=1860725
196	Bartonella henselae str. Houston-1	NC_005956=1931047
16252	Synechococcus sp. JA-2-3B'a(2-13)	NC_007776=3046682
16251	Synechococcus sp. JA-3-3Ab	NC_007775=2932766
274	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	NC_004344=697724,NC_003425=5280
275	Colwellia psychrerythraea 34H	NC_003910=5373180
276	Listeria monocytogenes EGD-e	NC_003210=2944528
16375	Shigella flexneri 5 str. 8401	NC_008258=4574284
278	Streptococcus pneumoniae R6	NC_003098=2038615
16313	Staphylococcus aureus subsp. aureus USA300	NC_007790=3125,NC_007791=4439,NC_007792=37136,NC_007793=2872769
16259	Escherichia coli UTI89	NC_007946=5065741,NC_007941=114230
16258	Syntrophus aciditrophicus SB	NC_007759=3179300
13423	Deinococcus geothermalis DSM 11300	NC_008025=2467205,NC_008010=574127
13904	Shewanella sp. MR-4	NC_008321=4706287
13907	Sphingopyxis alaskensis RB2256	NC_008048=3345170,NC_008036=28543
13903	Shewanella sp. MR-7	NC_008320=6499,NC_008322=4792610
443	Candidatus Blochmannia floridanus	NC_005061=705557
methBurt2	Methanococcoides burtonii DSM 6242	chr=2575032
10700	Candidatus Protochlamydia amoebophila UWE25	NC_005861=2414465
13908	Rhodoferax ferrireducens T118	NC_007901=257447,NC_007908=4712337
445	Wolinella succinogenes DSM 1740	NC_005090=2110355
444	Chromobacterium violaceum ATCC 12472	NC_005085=4751080
100	Mycoplasma pulmonis UAB CTIP	NC_002771=963879
101	Ureaplasma parvum serovar 3 str. ATCC 700970	NC_002162=751719
39	Pasteurella multocida subsp. multocida str. Pm70	NC_002663=2257487
38	Haemophilus ducreyi 35000HP	NC_002940=1698955
13337	Pelobacter carbinolicus DSM 2380	NC_007498=3665893
34	Yersinia pestis CO92	NC_003134=96210,NC_003143=4653728,NC_003131=70305,NC_003132=9612
10639	Mycoplasma hyopneumoniae 7448	NC_007332=920079
10638	Yersinia pestis biovar Microtus str. 91001	NC_005810=4595065,NC_005813=70159,NC_005815=106642,NC_005814=21742,NC_005816=9609
241	Salmonella typhimurium LT2	NC_003277=93939,NC_003197=4857432
334	Streptococcus agalactiae NEM316	NC_004368=2211485
336	Anaplasma phagocytophilum HZ	NC_007797=1471282
331	Pseudomonas aeruginosa PAO1	NC_002516=6264404
330	Streptococcus agalactiae 2603V/R	NC_004116=2160267
333	Streptococcus mutans UA159	NC_004350=2030921
9638	Lactobacillus johnsonii NCC 533	NC_005362=1992676
9633	Psychrobacter arcticus 273-4	NC_007204=2650701
10790	Idiomarina loihiensis L2TR	NC_006512=2839318
9635	Dechloromonas aromatica RCB	NC_007298=4501104
9637	Bdellovibrio bacteriovorus HD100	NC_005363=3782950
therTeng1	Thermoanaerobacter tengcongensis MB4	chr=2689445
13435	Lactobacillus sakei subsp. sakei 23K	NC_007576=1884661
15713	Pseudoalteromonas haloplanktis TAC125	NC_007481=3214944,NC_007482=635328
methMaze1	Methanosarcina mazei Go1	chr=4096345
99	Mycoplasma pneumoniae M129	NC_000912=816394
